city_id,city_name,country,latitude,longitude
1,Nairobi,KE,-1.2864,36.8172
2,Mombasa,KE,-4.0435,39.6682
3,Kampala,UG,0.3476,32.5825
4,Dar es Salaam,TZ,-6.7924,39.2083
9,Kisumu,KE,-0.0917,34.768
10,Dodoma,TZ,-6.163,35.7516
11,Arusha,TZ,-3.3869,36.683
12,Kigali,RW,-1.9441,30.0619
13,Bujumbura,BI,-3.3614,29.3599
14,Juba,SS,4.8594,31.5713
15,Addis Ababa,ET,9.0301,38.74
16,Dire Dawa,ET,9.5931,41.85
17,Mogadishu,SO,2.0469,45.3182
18,Djibouti City,DJ,11.5886,43.1456
19,Asmara,ER,15.3229,38.9251
20,Kinshasa,CD,-4.4419,15.2663
21,Lubumbashi,CD,-11.6609,27.4794
22,Goma,CD,-1.6792,29.2228
23,Brazzaville,CG,-4.2634,15.2429
24,Yaoundé,CM,3.848,11.5021
25,Douala,CM,4.0511,9.7679
26,Bangui,CF,4.3947,18.5582
27,N'Djamena,TD,12.1348,15.0557
28,Libreville,GA,0.4162,9.4673
29,Malabo,GQ,3.7523,8.7741
